AIP 97, Academic Internship (2, 4), 2, 4
AIP 197, Academic Internship  Program (4, 8, 12), 4, 8, 12
AIP 197F, Academic Internship  Program—Foreign (4, 8, 12), 4, 8, 12
AIP 197P, Public Service Minor Internship (4), 4
BIOM 266, Environmental and Molecular Toxicology (4), 4
BIOM 267, Drug Discovery, Development, and Commercialization (3), 3
BIOM 272, Seminars in Genetics (2), 2
BIOM 273, Seminars in Microbiology (2), 2
BIOM 274, Seminars in Molecular and Cell Biology (2), 2
BIOM 275, Seminars in Pharmacology (2), 2
BIOM 276, Seminars in Physiology (2), 2
BIOM 277, Seminars in Molecular Pathology (2), 2
BIOM 283, Supramolecular Structure Determination Laboratory (4), 4
BIOM 285, Statistical Inference in the Medical Sciences (2), 2
BIOM 287, Tissue Engineering Laboratory (4), 4
BIOM 294, Pharmacology and Molecular Biology Journal Club (0–1), 0–1
BIOM 295, Pharmacology Research Discussions (0–1), 0–1
BIOM 296, Directed Reading (1–4), 1–4
BIOM 297, Progress in Signal Transduction (1), 1
BIOM 298, Directed Study (1–12), 1–12
BIOM 299, Independent Study or Research (1–12), 1–12
CHEM 1, The Scope of Chemistry and Biochemistry (1), 1
CHEM 4, Basic Chemistry (4), 4
CHEM 6A, General Chemistry I (4), 4
CHEM 6AH, Honors General Chemistry I (4), 4
CHEM 6B, General Chemistry II (4), 4
CHEM 6BH, Honors General Chemistry II (4), 4
CHEM 6C, General Chemistry III (4), 4
CHEM 6CH, Honors General Chemistry III (4), 4
CHEM 7L, General Chemistry Laboratory (4), 4
CHEM 7LM, General Chemistry Laboratory for Majors (4), 4
CHEM 11, The Periodic Table (4), 4
CHEM 12, Molecules and Reactions (4), 4
CHEM 13, Chemistry of Life (4), 4
CHEM 40A, Organic Chemistry I (4), 4
CHEM 40B, Organic Chemistry II (4), 4
CHEM 40BH, Honors Organic Chemistry (4), 4
CHEM 40C, Organic Chemistry III (4), 4
CHEM 40CH, Honors Organic Chemistry (4), 4
CHEM 43A, Organic Chemistry Laboratory (4), 4
CHEM 43AM, Organic Chemistry Laboratory for Majors (4), 4
CHEM 87, Freshman Seminar in Chemistry and Biochemistry (1), 1
CHEM 96, Introduction to Teaching Science (2), 2
CHEM 99, Independent Study (2 or 4), 2 or 4
CHEM 99R, Independent Study (1), 1
CHEM 100A, Analytical Chemistry Laboratory (4), 4
CHEM 100B, Instrumental Chemistry Laboratory (5), 5
CHEM 105A, Physical Chemistry Laboratory (4), 4
CHEM 105B, Physical Chemistry Laboratory (4), 4
CHEM 108, Protein Biochemistry Laboratory (6), 6
CHEM 109, Recombinant DNA Laboratory (6), 6
CHEM 111, Origins of Life and the Universe (4), 4
CHEM 113, Physical Chemistry of Biological Macromolecules  (4), 4
CHEM 114A, Biochemical Structure and Function (4), 4
CHEM 114B, Biochemical Energetics and Metabolism (4), 4
CHEM 114C, Biosynthesis of Macromolecules (4), 4
CHEM 114D, Molecular and Cellular Biochemistry (4), 4
CHEM 116, Chemical Biology  (4), 4
CHEM 118, Pharmacology and Toxicology (4), 4
CHEM 120A, Inorganic Chemistry I (4), 4
CHEM 120B, Inorganic Chemistry II (4), 4
CHEM 123, Advanced Inorganic Chemistry Laboratory (4), 4
CHEM 125, Bioinorganic Chemistry (4), 4
CHEM 126, Physical Chemistry: Quantum Mechanics (4), 4
CHEM 127, Physical Chemistry: Thermodynamics  (4), 4
CHEM 130, Chemical Physics: Quantum Mechanics (4), 4
CHEM 131, Chemical Physics: Stat Thermo I  (4), 4
CHEM 132, Chemical Physics: Stat Thermo II  (4), 4
CHEM 134, Polymeric Materials (4), 4
CHEM 135, Molecular Spectroscopy (4), 4
CHEM 141, Organic Nanomaterials (4), 4
CHEM 142, Introduction to Glycosciences (4), 4
CHEM 143B, Organic Chemistry Laboratory (4), 4
CHEM 143C, Organic Chemistry Laboratory (5), 5
CHEM 143D, Molecular Design and Synthesis (4), 4
CHEM 145, Chemistry and Biochemistry of Biofuels (4), 4
CHEM 146, Kinetics and Mechanism of Organic Reactions (4), 4
CHEM 151, Molecules that Changed the World (4), 4
CHEM 152, Synthetic Methods in Organic Chemistry (4), 4
CHEM 154, Mechanisms of Organic Reactions (4), 4
CHEM 155, Synthesis of Complex Molecules (4), 4
CHEM 156, Structure  and Properties of Organic Molecules (4), 4
CHEM 157, Bioorganic and Natural Products Chemistry (4), 4
CHEM 158, Applied Spectroscopy (4), 4
CHEM 164, Structural Biology of Viruses (4), 4
CHEM 165, 3D Cryo-Electron Microscopy of Macromolecules and Cells  (4), 4
CHEM 167, Medicinal Chemistry (4), 4
CHEM 168, Drug Synthesis and Design (4), 4
CHEM 171, Environmental Chemistry I (4), 4
CHEM 172, Environmental Chemistry II (4), 4
CHEM 173, Atmospheric Chemistry (4), 4
CHEM 174, Chemical Principles of Marine Systems (4), 4
CHEM 182, Biological Databases (4), 4
CHEM 184, Computational Molecular Biology (4), 4
CHEM 185, Introduction to Computational Chemistry (4), 4
CHEM 187, Foundations  of Teaching and Learning Science (4), 4
CHEM 188, Capstone Seminar in Science Education (4), 4
CHEM 192, Senior Seminar  in Chemistry and Biochemistry (1), 1
CHEM 194, Special Topics in Chemistry (2 or 4), 2 or 4
CHEM 195, Methods of Teaching Chemistry (4), 4
CHEM 196, Reading and Research in Chemical Education (2 or 4), 2 or 4
CHEM 197, Chemistry Internship (2 or 4), 2 or 4
CHEM 198, Directed Group Study (1–4), 1–4
CHEM 199, Reading and Research (2 or 4), 2 or 4
CHEM 200B, Fundamentals of Instrumental Analysis (4), 4
CHEM 204, Introduction to X-ray Crystallography (4), 4
CHEM 207, Protein NMR (4), 4
CHEM 209, Macromolecular Recognition (4), 4
CHEM 210, Lipid Cell Signaling Genomics, Proteomics, and Metabolomics (2), 2
CHEM 213A, Structure of Biomolecules and Biomolecular Assemblies (4), 4
CHEM 213B, Biophysical Chemistry of Macromolecules (4), 4
CHEM 214, Molecular and Cellular Biochemistry (4), 4
CHEM 216, Chemical Biology (4), 4
CHEM 217, RNA Structure, Function, and Biology (4), 4
CHEM 219A, Special Topics in Biochemistry (4), 4
CHEM 219B, Special Topics in Biochemistry (4), 4
CHEM 219C, Special Topics in Biochemistry (2 or 4), 2 or 4
CHEM 220, Regulatory Circuits in Cells (4), 4
CHEM 221, Signal Transduction (4), 4
CHEM 222, Structure and Analysis of Solids (4), 4
CHEM 223, Organometallic Chemistry (4), 4
CHEM 224, Spectroscopic Techniques (4), 4
CHEM 225, Bioinorganic Chemistry (4), 4
CHEM 226, Transition Metal Chemistry (4), 4
CHEM 227, Seminar in Inorganic Chemistry (2), 2
CHEM 228, Solid State Chemistry (4), 4
CHEM 229, Special Topics in Inorganic Chemistry (2–4), 2–4
CHEM 230A, Quantum Mechanics I (4), 4
CHEM 230B, Quantum          Mechanics II (4), 4
CHEM 231, Chemical Kinetics and Molecular Reaction Dynamics (4), 4
CHEM 232A, Statistical Mechanics I (4), 4
CHEM 232B, Statistical Mechanics II (4), 4
CHEM 235, Molecular Spectroscopy (4), 4
CHEM 236, Chemical Dynamics on Surfaces (4), 4
CHEM 239, Special Topics in Chemical Physics (2 or 4), 2 or 4
CHEM 240, Electrochemistry (4), 4
CHEM 241, Organic Nanomaterials (4), 4
CHEM 242, Introduction to Glycosciences (4), 4
CHEM 246, Kinetics and Mechanism (4), 4
CHEM 250, Research Survival Skills  (2), 2
CHEM 251, Research Conference (2), 2
CHEM 252, Synthetic Methods in Organic Chemistry (4), 4
CHEM 253, Antibiotics (4), 4
CHEM 254, Mechanisms of Organic Reactions (4), 4
CHEM 255, Synthesis of Complex Molecules (4), 4
CHEM 256, Structure  and Properties of Organic Molecules (4), 4
CHEM 257, Bioorganic and Natural Products Chemistry (4), 4
CHEM 258, Applied Spectroscopy (4), 4
CHEM 259, Special Topics in Organic Chemistry (2–4), 2–4
CHEM 260, Light and Electron Microscopy of Cells and Tissue (4), 4
CHEM 262, Inorganic Chemistry and NMR (4), 4
CHEM 264, Structural Biology of Viruses (4), 4
CHEM 265, 3D Electron Microscopy of Macromolecules (4), 4
CHEM 267, Environmental Nanotechnology, Sustainable Nanotechnology, and Nanotoxicity (4), 4
CHEM 270A-B-C, Current Topics in Environmental Chemistry (2-2-2), 2-2-2
CHEM 271, Special Topics in Analytical Chemistry (4), 4
CHEM 273, Atmospheric Chemistry (4), 4
CHEM 276, Numerical Analysis in Multiscale Biology (4), 4
CHEM 280, Applied Bioinformatics                  (4), 4
CHEM 283, Supramolecular Structure Determination Laboratory (4), 4
CHEM 285, Introduction to Computational Chemistry (4), 4
CHEM 294, Organic Chemistry Seminar (2), 2
CHEM 295, Biochemistry Seminar (2), 2
CHEM 296, Chemical Physics Seminar (2), 2
CHEM 297, Experimental Methods in Chemistry (4), 4
CHEM 298, Special Study in Chemistry (1–4), 1–4
CHEM 299, Research in Chemistry (1–12), 1–12
CHEM 500, Apprentice Teaching (4), 4
CHEM 509, Teaching Methods in Chemistry and Biochemistry (2), 2
CHIN 10AN, First Year Chinese—Non-native speakers I (5), 5
CHIN 10AM, First Year Chinese—Mandarin speakers I (5), 5
CHIN 10AD, First Year Chinese—Dialect speakers I (5), 5
CHIN 10BN, First Year Chinese—Non-native speakers II (5), 5
CHIN 10BM, First Year Chinese—Mandarin speakers II (5), 5
CHIN 10BD, First Year Chinese—Dialect speakers II (5), 5
CHIN 10CN, First Year Chinese—Non-native speakers III (5), 5
CHIN 10CM, First Year Chinese—Mandarin speakers III (5), 5
CHIN 10CD, First Year Chinese—Dialect speakers III (5), 5
CHIN 20AN, Second Year Chinese—Non-native speakers I (4), 4
CHIN 20AM, Second Year Chinese—Mandarin speakers I (4), 4
CHIN 20AD, Second Year Chinese—Dialect speakers I (4), 4
CHIN 20BN, Second Year Chinese—Non-native speakers II (4), 4
CHIN 20BM, Second Year Chinese—Mandarin speakers II (4), 4
CHIN 20BD, Second Year Chinese—Dialect speakers II (4), 4
CHIN 20CN, Second Year Chinese—Non-native speakers III (4), 4
CHIN 20CM, Second Year Chinese—Mandarin speakers III (4), 4
CHIN 20CD, Second Year Chinese—Dialect speakers III (4), 4
CHIN 100AN, Third Year Chinese—Non-native speakers I (4), 4
CHIN 100AM, Third Year Chinese—Mandarin speakers I (4), 4
CHIN 100BN, Third Year Chinese—Non-native speakers II (4), 4
CHIN 100BM, Third Year Chinese—Mandarin speakers II (4), 4
CHIN 100CN, Third Year Chinese—Non-native speakers III (4), 4
CHIN 100CM, Third Year Chinese—Mandarin speakers III (4), 4
CHIN 160/260, Late Imperial and Twentieth-Century Chinese Historical Texts          (4), 4
CHIN 165A, Business Chinese (4), 4
CHIN 165B, Business Chinese (4), 4
CHIN 165C, Business Chinese (4), 4
CHIN 169A, Medical Chinese I (4), 4
CHIN 169B, Medical Chinese II (4), 4
CHIN 182A, Introduction    to Classical Chinese—Advanced I (4), 4
CHIN 182B, Introduction  to Classical Chinese—Advanced II (4), 4
CHIN 182C, Introduction  to Classical Chinese—Advanced III (4), 4
CHIN 185A-B-C, Readings in Chinese Culture and Society  (4-4-4), 4-4-4
CHIN 186A-B-C, Readings in Chinese Economics, Politics,  and Trade (4-4-4), 4-4-4
CHIN 196, Directed Thesis Research (4), 4
CHIN 198, Directed    Group Study in Chinese Studies (2 or 4), 2 or 4
CHIN 199, Independent Study in Chinese Studies (2  or 4), 2  or 4
CHIN 260, Late  Imperial and Twentieth-Century Chinese Historical Texts (4), 4
CHIN 269, Conversational Mandarin for Medical Students—Beginning  (2), 2
CHIN 296, Directed Thesis Research (2–12), 2–12
CHIN 299, Independent Study in Chinese Studies (2–12), 2–12
CHIN 500, Apprentice Teaching (2–4), 2–4
CLAS 196, Directed Honors Thesis in Classical Studies (4), 4
Classics 200A, Contemporary Literary Theory and the Classics (4), 4
Classics 200B, Historical Perspectives on Classical Antiquity (4), 4
Classics 200C, Greece and Rome in Their Contemporary  Cultural Contexts (4), 4
Classics 201, Research and Pedagogical Tools for Classicists (4), 4
Classics 205, Concurrent Readings (2), 2
Classics 220, Classics Graduate Seminar (4), 4
Classics 280, Independent Study (4), 4
Classics 290, Research in Classics (4-4-4), 4-4-4
Classics 299, Dissertation Research (4–12), 4–12
Classics 399, University Teaching (4-4-4), 4-4-4
SIOB 286, Marine Science, Economics, and Policy (4), 4
SIOC 210, Physical Oceanography (4), 4
SIOC 217A, Atmospheric and Climate Sciences I (4), 4
SIOC 217B, Atmospheric and Climate Sciences II (4), 4
SIOC 217C, Atmospheric and Climate Sciences III (4), 4
SIOC 217D, Atmospheric and Climate Sciences IV (4), 4
SIOC 290S, Climate Math (6), 6
SIOC 291S, @Climate (6), 6
SIOC 292, Introduction to Climate Science and Policy (4), 4
SIOC 296, Climate Science and Policy Forum (2), 2
SIOC 299, Climate Science and Policy Capstone Project (6–10), 6–10
SIOG 252A, Introduction to Isotope Geochemistry (4), 4
SIOG 260, Marine Chemistry (4), 4
Clinical Psychology, Child    Development and Neuropsychology (3), 3
Clinical Psychology, Proseminar in Neuropsychology (3), 3
School of, Social and Behavioral Sciences—Psychopathology (3), 3
Clinical Psychology, Independent Study (1–12), 1–12
CLRE 230, Digital Health (2), 2
CLRE 231, Implementation Science (2), 2
CLRE 232, Qualitative Research (2), 2
CLRE 233, Regulatory Science (2), 2
CLRE 234, Social Media Research (2), 2
CLRE 235, Team Science (2), 2
CLRE 236, Translational Research (2), 2
CLRE 237, Stem Cell Translation (2), 2
CLRE 238, Applied Drug Discovery and Development (2), 2
CLRE 250, Patient-Oriented Research I (2), 2
CLRE 251, Epidemiology I (2), 2
CLRE 252, Health Services Research (2), 2
CLRE 253, Biostatistics I (2), 2
CLRE 254, Biostatistics II (2), 2
CLRE 255, Data Management and Informatics (2), 2
CLRE 256, Patient-Oriented Research II (2), 2
CLRE 257, Epidemiology II (2), 2
CLRE 258, Professional Development in Clinical Research (2), 2
CLRE 259, Scientific Communication Skills (2), 2
CLRE 260, Directed Studies in Clinical Research (2), 2
CLRE 262, Analyzing Medical Data Using “R” (2), 2
CLRE 263, Longitudinal Data Analysis (2), 2
CLRE 264, Clinical Decision Analysis (2), 2
CLRE 265, Advanced Regression Methods (2), 2
CLRE 268, Behavioral Science Research Methods (2), 2
CLRE 270, Experiential Learning in Clinical Research (2), 2
CLRE 295A, Independent Study Project (ISP) Seminar Series A (2), ISP) Seminar Series A (2
CLRE 295B, Independent Study Project (ISP) Seminar Series B (2), ISP) Seminar Series B (2
CLRE 296, Independent Study Project (6), 6
CLRE 297, Independent Study Project (2), 2
CLRE 298, Independent Study Project (4), 4
CLRE 299, Mentorship and Career Planning for Clinical Research Professionals (2), 2
COGS 1, Introduction to Cognitive Science (4), 4
COGS 2, Cognitive NeuroEconomics (4), 4
COGS 3, Introduction to Computing (4), 4
COGS 8, Hands-on Computing (4), 4
COGS 9, Introduction to Data Science (4), 4
COGS 10, Cognitive Consequences of Technology (4), 4
COGS 11, Minds and Brains (4), 4
COGS 12, Language, Culture, and Cognition (4), 4
COGS 13, Field Methods: Studying Cognition in the Wild (4), 4
COGS 14A, Introduction to Research Methods (4), 4
COGS 14B, Introduction to Statistical Analysis (4), 4
COGS 15, What the *#!?: An Uncensored Introduction to Language (4), 4
COGS 17, Neurobiology of Cognition (4), 4
COGS 18, Introduction to Python  (4), 4
COGS 20, Exploring the Musical Mind (4), 4
COGS 87, Freshman Seminar (1), 1
COGS 90, Undergraduate Seminar (1), 1
COGS 91, SCANS Presents (1), 1
COGS 92, Resiliency in the Face of Adversity (2), 2
COGS 99, Independent Study (2 or 4), 2 or 4
COGS 100, Cyborgs Now and in the Future (4), 4
COGS 101A, Sensation and Perception (4), 4
COGS 101B, Learning, Memory, and Attention (4), 4
COGS 101C, Language (4), 4
COGS 102A, Distributed Cognition (4), 4
COGS 102B, Cognitive Ethnography (4), 4
COGS 102C, Cognitive Design Studio (6), 6
COGS 107A, Neuroanatomy and Physiology (4), 4
COGS 107B, Systems Neuroscience (4), 4
COGS 107C, Cognitive Neuroscience (4), 4
COGS 108, Data Science in Practice (4), 4
COGS 109, Modeling and Data Analysis (4), 4
COGS 110, The Developing Mind (4), 4
COGS 115, Neurological Development and Cognitive Change (4), 4
COGS 118A, Introduction to Machine Learning I (4), 4
COGS 118B, Introduction to Machine Learning II  (4), 4
COGS 118C, Neural Signal Processing (4), 4
COGS 118D, Mathematical Statistics for Behavioral Data Analysis (4), 4
COGS 119, Programming for Experimental Research (4), 4
COGS 120, Interaction Design  (5), 5
COGS 121, Human Computer Interaction Programming Studio (4), 4
COGS 122, Startup Studio (4), 4
COGS 123, Social Computing (4), 4
COGS 124, HCI Technical Systems Research (4), 4
COGS 125, Advanced Interaction Design (4), 4
COGS 133, Data Science in Practice (4), 4
COGS 143, Animal Cognition (4), 4
COGS 144, Social Cognition: A Developmental and Evolutionary Perspective (4), 4
COGS 151, Analogy and Conceptual Systems (4), 4
COGS 152, Cognitive Foundations of Mathematics (4), 4
COGS 153, Language Comprehension (4), 4
COGS 154, Communication Disorders in Children and Adults (4), 4
COGS 155, Gesture and Cognition (4), 4
COGS 156, Language Development (4), 4
COGS 157, Music and the Mind (4), 4
COGS 160, Upper-Division Seminar on Special Topics (4), 4
COGS 163, Metabolic Disorders of the Brain (4), 4
COGS 164, Neurobiology of Motivation (4), 4
COGS 169, Genetic Information for Behavior: From Single Cells to Mammals (4), 4
COGS 170, Brain Waves Across Scales (4), 4
COGS 171, Mirror Neuron System (4), 4
COGS 172, Brain Disorders and Cognition (4), 4
COGS 174, Drugs: Brain, Mind, and Culture (4), 4
COGS 175, The Neuropsychological Basis of Alternate States of Consciousness (4), 4
COGS 176, From Sleep to Attention (4), 4
COGS 177, Space and Time in the Brain (4), 4
COGS 178, Genes, Brains, and Behavior (4), 4
COGS 179, Electrophysiology of Cognition (4), 4
COGS 180, Decision Making in the Brain  (4), 4
COGS 181, Neural Networks and Deep Learning (4), 4
COGS 184, Modeling the Evolution of Cognition (4), 4
COGS 185, Advanced Machine Learning Methods (4), 4
COGS 187A, Usability and Information Architecture  (4), 4
COGS 187B, Practicum in Professional Web Design  (4), 4
COGS 188, AI Algorithm and Social Language (4), 4
COGS 189, Brain Computer Interfaces (4), 4
COGS 190A, Pre-Honors Project in Cognitive Science (4), 4
COGS 190B, Honors Studies in Cognitive Science (4), 4
COGS 190C, Honors Thesis in Cognitive Science (4), 4
COGS 190D, Preparation for Thesis Presentation (1), 1
COGS 195, Instructional Apprenticeship in Cognitive Science (4), 4
COGS 198, Directed Group Study (2 or 4), 2 or 4
COGS 199, Special Project (2 or 4), 2 or 4
COGS 200, Cognitive Science Seminar (4), 4
COGS 201, Systems Neuroscience (4), 4
COGS 202, Cognitive Science Foundations: Computational Modeling of Cognition (4), 4
COGS 203, Cognitive Science Foundations: Theories and Methods in the Study of Cognitive Phenomena (4), 4
COGS 205, Introduction to Thesis Research (4), 4
